topic,group,subgroup,year,estimate
Functioning difficulties status (composite) among adults,Sexual orientation,Bisexual,2020,51.9
Functioning difficulties status (composite) among adults,Sexual orientation,Bisexual,2021,56.6
Functioning difficulties status (composite) among adults,Sexual orientation,Bisexual,2022,62.1
Functioning difficulties status (composite) among adults,Sexual orientation,Bisexual,2023,61.3
Functioning difficulties status (composite) among adults,Sexual orientation,Gay or Lesbian,2019,36.3
Functioning difficulties status (composite) among adults,Sexual orientation,Gay or Lesbian,2020,43.9
Functioning difficulties status (composite) among adults,Sexual orientation,Gay or Lesbian,2021,42.0
Functioning difficulties status (composite) among adults,Sexual orientation,Gay or Lesbian,2022,49.5
Functioning difficulties status (composite) among adults,Sexual orientation,Gay or Lesbian,2023,46.1
Functioning difficulties status (composite) among adults,Sexual orientation,Straight,2019,40.8
Functioning difficulties status (composite) among adults,Sexual orientation,Straight,2020,40.9
Functioning difficulties status (composite) among adults,Sexual orientation,Straight,2021,42.9
Functioning difficulties status (composite) among adults,Sexual orientation,Straight,2022,43.8
Functioning difficulties status (composite) among adults,Sexual orientation,Straight,2023,44.6
Functioning difficulties status (composite) among adults,Veteran status,Veteran,2019,59.6
Functioning difficulties status (composite) among adults,Veteran status,Veteran,2020,57.9
Functioning difficulties status (composite) among adults,Veteran status,Veteran,2021,58.0
Functioning difficulties status (composite) among adults,Veteran status,Veteran,2022,61.5
Functioning difficulties status (composite) among adults,Veteran status,Veteran,2023,61.1
Functioning difficulties status (composite) among adults,Veteran status,Non-veteran,2019,39.4
Functioning difficulties status (composite) among adults,Veteran status,Non-veteran,2020,39.9
Functioning difficulties status (composite) among adults,Veteran status,Non-veteran,2021,42.2
Functioning difficulties status (composite) among adults,Veteran status,Non-veteran,2022,43.4
Functioning difficulties status (composite) among adults,Veteran status,Non-veteran,2023,44.0
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Large MSA,2019,37.4
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Large MSA,2020,37.4
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Large MSA,2021,39.0
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Large MSA,2022,40.9
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Large MSA,2023,41.9
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Small MSA,2019,43.0
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Small MSA,2020,44.8
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Small MSA,2021,46.8
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Small MSA,2022,47.1
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Small MSA,2023,47.5
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Non-MSA,2019,50.8
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Non-MSA,2020,49.9
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Non-MSA,2021,53.0
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Non-MSA,2022,54.0
Functioning difficulties status (composite) among adults,Metropolitan statistical area,Non-MSA,2023,53.3
Functioning difficulties status (composite) among adults,Region,Northeast,2019,39.0
Functioning difficulties status (composite) among adults,Region,Northeast,2020,38.5
Functioning difficulties status (composite) among adults,Region,Northeast,2021,38.4
Functioning difficulties status (composite) among adults,Region,Northeast,2022,40.7
Functioning difficulties status (composite) among adults,Region,Northeast,2023,40.7
Functioning difficulties status (composite) among adults,Region,Midwest,2019,42.3
Functioning difficulties status (composite) among adults,Region,Midwest,2020,44.3
Functioning difficulties status (composite) among adults,Region,Midwest,2021,44.5
Functioning difficulties status (composite) among adults,Region,Midwest,2022,46.5
Functioning difficulties status (composite) among adults,Region,Midwest,2023,48.0
Functioning difficulties status (composite) among adults,Region,South,2019,42.3
Functioning difficulties status (composite) among adults,Region,South,2020,42.6
Functioning difficulties status (composite) among adults,Region,South,2021,44.9
Functioning difficulties status (composite) among adults,Region,South,2022,45.5
Functioning difficulties status (composite) among adults,Region,South,2023,46.4
Functioning difficulties status (composite) among adults,Region,West,2019,39.6
Functioning difficulties status (composite) among adults,Region,West,2020,39.1
Functioning difficulties status (composite) among adults,Region,West,2021,43.4
Functioning difficulties status (composite) among adults,Region,West,2022,44.4
Functioning difficulties status (composite) among adults,Region,West,2023,44.0
Functioning difficulties status (composite) among adults,Social vulnerability,Little to no social vulnerability,2019,41.7
Functioning difficulties status (composite) among adults,Social vulnerability,Little to no social vulnerability,2020,41.2
Functioning difficulties status (composite) among adults,Social vulnerability,Little to no social vulnerability,2021,42.4
Functioning difficulties status (composite) among adults,Social vulnerability,Little to no social vulnerability,2022,44.7
Functioning difficulties status (composite) among adults,Social vulnerability,Little to no social vulnerability,2023,46.4
Functioning difficulties status (composite) among adults,Social vulnerability,Low social vulnerability,2019,39.5
Functioning difficulties status (composite) among adults,Social vulnerability,Low social vulnerability,2020,40.7
Functioning difficulties status (composite) among adults,Social vulnerability,Low social vulnerability,2021,43.7
Functioning difficulties status (composite) among adults,Social vulnerability,Low social vulnerability,2022,44.3
Functioning difficulties status (composite) among adults,Social vulnerability,Low social vulnerability,2023,44.8
Functioning difficulties status (composite) among adults,Social vulnerability,Medium social vulnerability,2019,41.2
Functioning difficulties status (composite) among adults,Social vulnerability,Medium social vulnerability,2020,42.2
Functioning difficulties status (composite) among adults,Social vulnerability,Medium social vulnerability,2021,43.4
Functioning difficulties status (composite) among adults,Social vulnerability,Medium social vulnerability,2022,46.5
Functioning difficulties status (composite) among adults,Social vulnerability,Medium social vulnerability,2023,45.6
Functioning difficulties status (composite) among adults,Social vulnerability,High social vulnerability,2019,42.1
Functioning difficulties status (composite) among adults,Social vulnerability,High social vulnerability,2020,41.5
Functioning difficulties status (composite) among adults,Social vulnerability,High social vulnerability,2021,43.5
Functioning difficulties status (composite) among adults,Social vulnerability,High social vulnerability,2022,43.2
Functioning difficulties status (composite) among adults,Social vulnerability,High social vulnerability,2023,45.1
Functioning difficulties status (composite) among adults,Urbanicity,Large central metro,2019,36.2
Functioning difficulties status (composite) among adults,Urbanicity,Large central metro,2020,36.5
Functioning difficulties status (composite) among adults,Urbanicity,Large central metro,2021,37.6
Functioning difficulties status (composite) among adults,Urbanicity,Large central metro,2022,39.1
Functioning difficulties status (composite) among adults,Urbanicity,Large central metro,2023,40.7
Functioning difficulties status (composite) among adults,Urbanicity,Large fringe metro,2019,39.1
Functioning difficulties status (composite) among adults,Urbanicity,Large fringe metro,2020,38.6
Functioning difficulties status (composite) among adults,Urbanicity,Large fringe metro,2021,41.0
Functioning difficulties status (composite) among adults,Urbanicity,Large fringe metro,2022,43.2
Functioning difficulties status (composite) among adults,Urbanicity,Large fringe metro,2023,43.3
Functioning difficulties status (composite) among adults,Urbanicity,Medium and small metro,2019,43.0
Functioning difficulties status (composite) among adults,Urbanicity,Medium and small metro,2020,44.8
Functioning difficulties status (composite) among adults,Urbanicity,Medium and small metro,2021,46.9
Functioning difficulties status (composite) among adults,Urbanicity,Medium and small metro,2022,47.2
Functioning difficulties status (composite) among adults,Urbanicity,Medium and small metro,2023,47.6
Functioning difficulties status (composite) among adults,Urbanicity,Nonmetropolitan,2019,50.8
Functioning difficulties status (composite) among adults,Urbanicity,Nonmetropolitan,2020,49.9
Functioning difficulties status (composite) among adults,Urbanicity,Nonmetropolitan,2021,53.0
Functioning difficulties status (composite) among adults,Urbanicity,Nonmetropolitan,2022,53.9
Functioning difficulties status (composite) among adults,Urbanicity,Nonmetropolitan,2023,53.4
Functioning difficulties status (composite) among adults,Education,No high school diploma or GED,2019,58.1
Functioning difficulties status (composite) among adults,Education,No high school diploma or GED,2020,57.0
Functioning difficulties status (composite) among adults,Education,No high school diploma or GED,2021,58.6
Functioning difficulties status (composite) among adults,Education,No high school diploma or GED,2022,57.6
Functioning difficulties status (composite) among adults,Education,No high school diploma or GED,2023,56.7
Functioning difficulties status (composite) among adults,Education,High school diploma or GED,2019,47.0
Functioning difficulties status (composite) among adults,Education,High school diploma or GED,2020,49.0
Functioning difficulties status (composite) among adults,Education,High school diploma or GED,2021,50.5
Functioning difficulties status (composite) among adults,Education,High school diploma or GED,2022,51.4
Functioning difficulties status (composite) among adults,Education,High school diploma or GED,2023,51.9
Functioning difficulties status (composite) among adults,Education,Some college,2019,44.1
Functioning difficulties status (composite) among adults,Education,Some college,2020,44.8
Functioning difficulties status (composite) among adults,Education,Some college,2021,48.5
Functioning difficulties status (composite) among adults,Education,Some college,2022,49.3
Functioning difficulties status (composite) among adults,Education,Some college,2023,49.4
Functioning difficulties status (composite) among adults,Education,College degree or higher,2019,31.7
Functioning difficulties status (composite) among adults,Education,College degree or higher,2020,30.9
Functioning difficulties status (composite) among adults,Education,College degree or higher,2021,35.1
Functioning difficulties status (composite) among adults,Education,College degree or higher,2022,35.5
Functioning difficulties status (composite) among adults,Education,College degree or higher,2023,36.8
Functioning difficulties status (composite) among adults,Employment status,Employed,2019,30.8
Functioning difficulties status (composite) among adults,Employment status,Employed,2020,31.3
Functioning difficulties status (composite) among adults,Employment status,Employed,2021,33.9
Functioning difficulties status (composite) among adults,Employment status,Employed,2022,34.9
Functioning difficulties status (composite) among adults,Employment status,Employed,2023,36.0
Functioning difficulties status (composite) among adults,Employment status,Employed - Full-time,2019,29.6
Functioning difficulties status (composite) among adults,Employment status,Employed - Full-time,2020,30.0
Functioning difficulties status (composite) among adults,Employment status,Employed - Full-time,2021,32.1
Functioning difficulties status (composite) among adults,Employment status,Employed - Full-time,2022,33.2
Functioning difficulties status (composite) among adults,Employment status,Employed - Full-time,2023,34.3
Functioning difficulties status (composite) among adults,Employment status,Employed - Part-time,2019,36.1
Functioning difficulties status (composite) among adults,Employment status,Employed - Part-time,2020,37.9
Functioning difficulties status (composite) among adults,Employment status,Employed - Part-time,2021,41.2
Functioning difficulties status (composite) among adults,Employment status,Employed - Part-time,2022,41.9
Functioning difficulties status (composite) among adults,Employment status,Employed - Part-time,2023,42.3
Functioning difficulties status (composite) among adults,Employment status,Not employed,2019,59.8
Functioning difficulties status (composite) among adults,Employment status,Not employed,2020,57.5
Functioning difficulties status (composite) among adults,Employment status,Not employed,2021,59.2
Functioning difficulties status (composite) among adults,Employment status,Not employed,2022,61.9
Functioning difficulties status (composite) among adults,Employment status,Not employed,2023,61.6
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has worked previously,2019,60.8
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has worked previously,2020,58.3
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has worked previously,2021,60.0
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has worked previously,2022,62.3
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has worked previously,2023,62.3
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has never worked,2019,49.5
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has never worked,2020,45.1
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has never worked,2021,47.7
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has never worked,2022,55.6
Functioning difficulties status (composite) among adults,Employment status,Not employed - Has never worked,2023,53.8
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Private,2019,63.9
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Private,2020,61.1
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Private,2021,62.8
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Private,2022,64.2
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Private,2023,62.6
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare and Medicaid,2019,78.0
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare and Medicaid,2020,78.5
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare and Medicaid,2021,79.3
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare and Medicaid,2022,82.3
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare and Medicaid,2023,78.0
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare Advantage,2019,66.0
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare Advantage,2020,64.1
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare Advantage,2021,66.1
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare Advantage,2022,67.4
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare Advantage,2023,66.8
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2019,62.6
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2020,65.8
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2021,64.0
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2022,65.6
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Medicare only excluding Medicare Advantage,2023,66.0
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Other government coverage,2019,72.3
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Other government coverage,2020,72.6
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Other government coverage,2021,73.8
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Other government coverage,2022,71.5
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Other government coverage,2023,74.4
Functioning difficulties status (composite) among adults,Health insurance coverage: 65 years and older,Uninsured,2020,65.4
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Private,2019,29.5
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Private,2020,29.6
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Private,2021,33.0
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Private,2022,33.9
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Private,2023,34.7
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2019,50.0
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2020,52.4
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2021,50.4
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2022,51.4
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Medicaid or other state programs,2023,53.6
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Other government coverage,2019,61.1
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Other government coverage,2020,61.2
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Other government coverage,2021,55.4
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Other government coverage,2022,58.2
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Other government coverage,2023,60.5
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Uninsured,2019,34.9
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Uninsured,2020,35.4
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Uninsured,2021,37.2
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Uninsured,2022,37.0
Functioning difficulties status (composite) among adults,Health insurance coverage: Younger than 65 years,Uninsured,2023,35.6
Functioning difficulties status (composite) among adults,Poverty level,<100% FPL,2019,53.5
Functioning difficulties status (composite) among adults,Poverty level,<100% FPL,2020,54.9
Functioning difficulties status (composite) among adults,Poverty level,<100% FPL,2021,54.7
Functioning difficulties status (composite) among adults,Poverty level,<100% FPL,2022,55.2
Functioning difficulties status (composite) among adults,Poverty level,<100% FPL,2023,55.6
Functioning difficulties status (composite) among adults,Poverty level,100% to <200% FPL,2019,49.2
Functioning difficulties status (composite) among adults,Poverty level,100% to <200% FPL,2020,50.1
Functioning difficulties status (composite) among adults,Poverty level,100% to <200% FPL,2021,51.4
Functioning difficulties status (composite) among adults,Poverty level,100% to <200% FPL,2022,52.7
Functioning difficulties status (composite) among adults,Poverty level,100% to <200% FPL,2023,54.0
Functioning difficulties status (composite) among adults,Poverty level,≥200% FPL,2019,36.9
Functioning difficulties status (composite) among adults,Poverty level,≥200% FPL,2020,37.4
Functioning difficulties status (composite) among adults,Poverty level,≥200% FPL,2021,39.8
Functioning difficulties status (composite) among adults,Poverty level,≥200% FPL,2022,41.2
Functioning difficulties status (composite) among adults,Poverty level,≥200% FPL,2023,41.5
Has a usual place of care among adults,Total,18 years and older,2019,87.8
Has a usual place of care among adults,Total,18 years and older,2020,88.6
Has a usual place of care among adults,Total,18 years and older,2021,88.1
Has a usual place of care among adults,Total,18 years and older,2022,87.6
Has a usual place of care among adults,Total,18 years and older,2023,87.6
Has a usual place of care among adults,Age groups with 65 years and older,18-34 years,2019,79.4
Has a usual place of care among adults,Age groups with 65 years and older,18-34 years,2020,79.7
Has a usual place of care among adults,Age groups with 65 years and older,18-34 years,2021,79.3
Has a usual place of care among adults,Age groups with 65 years and older,18-34 years,2022,78.9
Has a usual place of care among adults,Age groups with 65 years and older,18-34 years,2023,80.0
Has a usual place of care among adults,Age groups with 65 years and older,35-49 years,2019,86.1
Has a usual place of care among adults,Age groups with 65 years and older,35-49 years,2020,87.7
Has a usual place of care among adults,Age groups with 65 years and older,35-49 years,2021,86.3
Has a usual place of care among adults,Age groups with 65 years and older,35-49 years,2022,85.6
Has a usual place of care among adults,Age groups with 65 years and older,35-49 years,2023,85.5
Has a usual place of care among adults,Age groups with 65 years and older,50-64 years,2019,92.2
Has a usual place of care among adults,Age groups with 65 years and older,50-64 years,2020,93.0
Has a usual place of care among adults,Age groups with 65 years and older,50-64 years,2021,92.7
Has a usual place of care among adults,Age groups with 65 years and older,50-64 years,2022,92.3
Has a usual place of care among adults,Age groups with 65 years and older,50-64 years,2023,91.4
Has a usual place of care among adults,Age groups with 65 years and older,65 years and older,2019,96.2
Has a usual place of care among adults,Age groups with 65 years and older,65 years and older,2020,96.5
Has a usual place of care among adults,Age groups with 65 years and older,65 years and older,2021,96.5
Has a usual place of care among adults,Age groups with 65 years and older,65 years and older,2022,96.0
Has a usual place of care among adults,Age groups with 65 years and older,65 years and older,2023,95.7
Has a usual place of care among adults,Age groups with 75 years and older,18-44 years,2019,81.3
Has a usual place of care among adults,Age groups with 75 years and older,18-44 years,2020,82.2
Has a usual place of care among adults,Age groups with 75 years and older,18-44 years,2021,81.6
Has a usual place of care among adults,Age groups with 75 years and older,18-44 years,2022,80.8
Has a usual place of care among adults,Age groups with 75 years and older,18-44 years,2023,81.7
Has a usual place of care among adults,Age groups with 75 years and older,45-64 years,2019,91.4
Has a usual place of care among adults,Age groups with 75 years and older,45-64 years,2020,92.3
Has a usual place of care among adults,Age groups with 75 years and older,45-64 years,2021,91.5
Has a usual place of care among adults,Age groups with 75 years and older,45-64 years,2022,91.5
Has a usual place of care among adults,Age groups with 75 years and older,45-64 years,2023,90.5
Has a usual place of care among adults,Age groups with 75 years and older,65-74 years,2019,95.9
Has a usual place of care among adults,Age groups with 75 years and older,65-74 years,2020,95.9
Has a usual place of care among adults,Age groups with 75 years and older,65-74 years,2021,96.2
Has a usual place of care among adults,Age groups with 75 years and older,65-74 years,2022,95.6
Has a usual place of care among adults,Age groups with 75 years and older,65-74 years,2023,95.1
Has a usual place of care among adults,Age groups with 75 years and older,75 years and older,2019,96.6
Has a usual place of care among adults,Age groups with 75 years and older,75 years and older,2020,97.5
Has a usual place of care among adults,Age groups with 75 years and older,75 years and older,2021,97.0
Has a usual place of care among adults,Age groups with 75 years and older,75 years and older,2022,96.6
Has a usual place of care among adults,Age groups with 75 years and older,75 years and older,2023,96.4
Has a usual place of care among adults,Disability status,With disability,2019,91.6
Has a usual place of care among adults,Disability status,With disability,2020,91.9
Has a usual place of care among adults,Disability status,With disability,2021,92.3
Has a usual place of care among adults,Disability status,With disability,2022,91.3
Has a usual place of care among adults,Disability status,With disability,2023,91.7
Has a usual place of care among adults,Disability status,Without disability,2019,87.4
Has a usual place of care among adults,Disability status,Without disability,2020,88.3
Has a usual place of care among adults,Disability status,Without disability,2021,87.7
Has a usual place of care among adults,Disability status,Without disability,2022,87.2
Has a usual place of care among adults,Disability status,Without disability,2023,87.2
Has a usual place of care among adults,Functioning difficulties status,With functioning difficulties,2019,89.6
Has a usual place of care among adults,Functioning difficulties status,With functioning difficulties,2020,89.9
Has a usual place of care among adults,Functioning difficulties status,With functioning difficulties,2021,89.8
Has a usual place of care among adults,Functioning difficulties status,With functioning difficulties,2022,89.3
Has a usual place of care among adults,Functioning difficulties status,With functioning difficulties,2023,88.9
Has a usual place of care among adults,Functioning difficulties status,Without functioning difficulties,2019,86.5
Has a usual place of care among adults,Functioning difficulties status,Without functioning difficulties,2020,87.7
Has a usual place of care among adults,Functioning difficulties status,Without functioning difficulties,2021,86.8
Has a usual place of care among adults,Functioning difficulties status,Without functioning difficulties,2022,86.2
Has a usual place of care among adults,Functioning difficulties status,Without functioning difficulties,2023,86.5
Has a usual place of care among adults,Marital status,Married,2019,91.3
Has a usual place of care among adults,Marital status,Married,2020,92.5
Has a usual place of care among adults,Marital status,Married,2021,91.7
Has a usual place of care among adults,Marital status,Married,2022,91.7
Has a usual place of care among adults,Marital status,Married,2023,91.2
Has a usual place of care among adults,Marital status,Divorced or separated,2019,88.6
Has a usual place of care among adults,Marital status,Divorced or separated,2020,88.7
Has a usual place of care among adults,Marital status,Divorced or separated,2021,88.9
Has a usual place of care among adults,Marital status,Divorced or separated,2022,88.8
Has a usual place of care among adults,Marital status,Divorced or separated,2023,88.5
Has a usual place of care among adults,Marital status,Widowed,2019,93.9
Has a usual place of care among adults,Marital status,Widowed,2020,95.4
Has a usual place of care among adults,Marital status,Widowed,2021,95.0
Has a usual place of care among adults,Marital status,Widowed,2022,94.2
Has a usual place of care among adults,Marital status,Widowed,2023,94.2
Has a usual place of care among adults,Marital status,Living with a partner,2019,77.4
Has a usual place of care among adults,Marital status,Living with a partner,2020,79.1
Has a usual place of care among adults,Marital status,Living with a partner,2021,78.1
Has a usual place of care among adults,Marital status,Living with a partner,2022,76.7
Has a usual place of care among adults,Marital status,Living with a partner,2023,80.1
Has a usual place of care among adults,Marital status,Never married,2019,82.2
Has a usual place of care among adults,Marital status,Never married,2020,82.1
Has a usual place of care among adults,Marital status,Never married,2021,81.9
Has a usual place of care among adults,Marital status,Never married,2022,81.4
Has a usual place of care among adults,Marital status,Never married,2023,81.6
Has a usual place of care among adults,Nativity,U.S.-born,2019,88.9
Has a usual place of care among adults,Nativity,U.S.-born,2020,89.3
Has a usual place of care among adults,Nativity,U.S.-born,2021,88.7
Has a usual place of care among adults,Nativity,U.S.-born,2022,88.7
Has a usual place of care among adults,Nativity,U.S.-born,2023,88.9
Has a usual place of care among adults,Nativity,Foreign-born,2019,83.7
Has a usual place of care among adults,Nativity,Foreign-born,2020,86.0
Has a usual place of care among adults,Nativity,Foreign-born,2021,85.4
Has a usual place of care among adults,Nativity,Foreign-born,2022,83.8
Has a usual place of care among adults,Nativity,Foreign-born,2023,83.3
Has a usual place of care among adults,Race,American Indian and Alaska Native only,2020,87.9
Has a usual place of care among adults,Race,American Indian and Alaska Native only,2022,87.7
Has a usual place of care among adults,Race,American Indian and Alaska Native only,2023,82.7
Has a usual place of care among adults,Race,Asian only,2019,89.5
Has a usual place of care among adults,Race,Asian only,2020,90.3
Has a usual place of care among adults,Race,Asian only,2021,88.2
Has a usual place of care among adults,Race,Asian only,2022,88.7
Has a usual place of care among adults,Race,Asian only,2023,87.8
Has a usual place of care among adults,Race,Black only,2019,85.6
Has a usual place of care among adults,Race,Black only,2020,86.2
Has a usual place of care among adults,Race,Black only,2021,85.9
Has a usual place of care among adults,Race,Black only,2022,86.3
Has a usual place of care among adults,Race,Black only,2023,85.3
Has a usual place of care among adults,Race,Native Hawaiian or Other Pacific Islander only,2021,81.8
Has a usual place of care among adults,Race,Native Hawaiian or Other Pacific Islander only,2022,80.4
Has a usual place of care among adults,Race,Native Hawaiian or Other Pacific Islander only,2023,82.9
Has a usual place of care among adults,Race,White only,2019,88.7
Has a usual place of care among adults,Race,White only,2020,89.7
Has a usual place of care among adults,Race,White only,2021,89.1
Has a usual place of care among adults,Race,White only,2022,88.7
Has a usual place of care among adults,Race,White only,2023,88.8
Has a usual place of care among adults,Race,American Indian and Alaska Native and White,2019,81.6
Has a usual place of care among adults,Race,American Indian and Alaska Native and White,2020,75.7
Has a usual place of care among adults,Race,American Indian and Alaska Native and White,2021,84.6
Has a usual place of care among adults,Race,American Indian and Alaska Native and White,2022,87.4
Has a usual place of care among adults,Race,American Indian and Alaska Native and White,2023,87.1
Has a usual place of care among adults,Race,Black and White,2019,77.1
Has a usual place of care among adults,Race,Black and White,2021,70.6
Has a usual place of care among adults,Race,Black and White,2022,78.7
Has a usual place of care among adults,Race,Black and White,2023,76.3
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic",2019,81.0
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic",2020,83.0
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic",2021,82.6
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic",2022,80.3
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic",2023,81.6
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2019,80.2
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2020,81.9
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2021,82.1
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2022,80.0
Has a usual place of care among adults,Race and Hispanic origin,"All races, Hispanic, Mexican",2023,81.5
Has a usual place of care among adults,Race and Hispanic origin,"All races, non-Hispanic",2019,89.1
Has a usual place of care among adults,Race and Hispanic origin,"All races, non-Hispanic",2020,89.7
Has a usual place of care among adults,Race and Hispanic origin,"All races, non-Hispanic",2021,89.2
Has a usual place of care among adults,Race and Hispanic origin,"All races, non-Hispanic",2022,89.1
Has a usual place of care among adults,Race and Hispanic origin,"All races, non-Hispanic",2023,88.9
Has a usual place of care among adults,Race and Hispanic origin,"Black only, non-Hispanic",2019,85.7
Has a usual place of care among adults,Race and Hispanic origin,"Black only, non-Hispanic",2020,86.3
Has a usual place of care among adults,Race and Hispanic origin,"Black only, non-Hispanic",2021,85.8
Has a usual place of care among adults,Race and Hispanic origin,"Black only, non-Hispanic",2022,86.4
Has a usual place of care among adults,Race and Hispanic origin,"Black only, non-Hispanic",2023,85.5
Has a usual place of care among adults,Race and Hispanic origin,"White only, non-Hispanic",2019,89.8
Has a usual place of care among adults,Race and Hispanic origin,"White only, non-Hispanic",2020,90.5
Has a usual place of care among adults,Race and Hispanic origin,"White only, non-Hispanic",2021,90.1
Has a usual place of care among adults,Race and Hispanic origin,"White only, non-Hispanic",2022,89.8
Has a usual place of care among adults,Race and Hispanic origin,"White only, non-Hispanic",2023,89.8
Has a usual place of care among adults,Race and Hispanic origin,"Other races, non-Hispanic",2019,88.2
Has a usual place of care among adults,Race and Hispanic origin,"Other races, non-Hispanic",2020,88.7
Has a usual place of care among adults,Race and Hispanic origin,"Other races, non-Hispanic",2021,87.2
Has a usual place of care among adults,Race and Hispanic origin,"Other races, non-Hispanic",2022,88.0
Has a usual place of care among adults,Race and Hispanic origin,"Other races, non-Hispanic",2023,86.7
Has a usual place of care among adults,Sex,Female,2019,91.1
Has a usual place of care among adults,Sex,Female,2020,91.2
Has a usual place of care among adults,Sex,Female,2021,91.4
